Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.5310109,35.13718411552347,4.2047772,-0.9415753661938335,-0.9415753661938335,1.0
20000,2.5395095,34.875,4.5917726,-0.93496917225554,-0.93496917225554,1.0
30000,2.530902,34.78776978417266,3.1315844,-0.9350802816156846,-0.9350802816156846,1.0
40000,2.5291183,33.153583617747444,3.2761123,-0.9536054667352409,-0.9536054667352409,1.0
50000,2.5660613,39.024,1.8120656,-0.9095312030911445,-0.9095312030911445,1.0
60000,2.5383925,44.217194570135746,1.296629,-0.8478868730467369,-0.8478868730467369,1.0
70000,2.556166,43.413333333333334,1.3407571,-0.8615831106238895,-0.8615831106238895,1.0
80000,2.5385602,46.58293838862559,1.1381376,-0.8247090004631693,-0.8247090004631693,1.0
90000,2.5465171,50.597938144329895,0.61257523,-0.7753834962537608,-0.7753834962537608,1.0
100000,2.5260913,47.770731707317076,0.44551533,-0.8215785420522457,-0.8215785420522457,1.0
110000,2.5302935,49.07035175879397,0.342793,-0.8086391952469121,-0.8086391952469121,1.0
120000,2.5485075,52.82608695652174,0.33083597,-0.7507632342544762,-0.7507632342544762,1.0
130000,2.5366096,49.97969543147208,0.30110624,-0.778997963303842,-0.778997963303842,1.0
140000,2.513353,52.12765957446808,0.22835618,-0.757546806430563,-0.757546806430563,1.0
150000,2.5137699,54.56111111111111,0.18261538,-0.7107155430648062,-0.7107155430648062,1.0
160000,2.501818,55.69318181818182,0.082417384,-0.7069522587751801,-0.7069522587751801,1.0
170000,2.5094702,57.093023255813954,0.029827239,-0.7058755699978319,-0.7058755699978319,1.0
180000,2.4837418,56.46551724137931,-0.039605994,-0.7008884925951903,-0.7008884925951903,1.0
190000,2.4881237,56.310344827586206,-0.063942105,-0.7135257104464939,-0.7135257104464939,1.0
200000,2.4690938,58.03529411764706,-0.07035465,-0.6912540940677419,-0.6912540940677419,1.0
210000,2.44669,61.3875,-0.15632813,-0.6398787323385478,-0.6398787323385478,1.0
220000,2.4371095,60.611111111111114,-0.19066189,-0.6542024544359725,-0.6542024544359725,1.0
230000,2.4499726,66.46979865771812,-0.22280417,-0.5800348678291244,-0.5800348678291244,1.0
240000,2.418883,67.21917808219177,-0.3440844,-0.578320517115397,-0.578320517115397,1.0
250000,2.4099221,68.54861111111111,-0.3448889,-0.5830055181350973,-0.5830055181350973,1.0
260000,2.4179695,66.45205479452055,-0.31687656,-0.5809465403834434,-0.5809465403834434,1.0
270000,2.4232998,69.24137931034483,-0.31541833,-0.5350082436512257,-0.5350082436512257,1.0
280000,2.3730557,70.02158273381295,-0.3284485,-0.5169985377362796,-0.5169985377362796,1.0
290000,2.3409956,73.95522388059702,-0.3732628,-0.526241742630503,-0.526241742630503,1.0
300000,2.368158,75.30232558139535,-0.36248043,-0.4595580851846887,-0.4595580851846887,1.0
310000,2.3857136,74.03676470588235,-0.36509806,-0.471433770021095,-0.471433770021095,1.0
320000,2.387695,80.825,-0.41567364,-0.36934993614753087,-0.36934993614753087,1.0
330000,2.3604028,81.33333333333333,-0.41478825,-0.3786129399043758,-0.3786129399043758,1.0
340000,2.3468564,90.91509433962264,-0.40284428,-0.21165176839740188,-0.21165176839740188,1.0
350000,2.3577077,101.78571428571429,-0.37161282,-0.08176277562515023,-0.08176277562515023,1.0
360000,2.3061018,96.83333333333333,-0.32231653,-0.14645479444195242,-0.14645479444195242,1.0
370000,2.3077145,99.23404255319149,-0.2857154,-0.09462140644750287,-0.09462140644750287,1.0
380000,2.2709181,107.26595744680851,-0.2257072,0.03313969929392139,0.03313969929392139,1.0
390000,2.2625604,111.45360824742268,-0.24403352,0.06517346137099796,0.06517346137099796,1.0
400000,2.2315116,133.38805970149255,-0.16458206,0.3091921736796697,0.3091921736796697,1.0
410000,2.2398224,153.04761904761904,-0.14664283,0.5686256121548395,0.5686256121548395,1.0
420000,2.2442634,165.08196721311475,-0.08336584,0.7181135887900988,0.7181135887900988,1.0
430000,2.2521534,156.25423728813558,-0.04782041,0.6675568863749504,0.6675568863749504,1.0
440000,2.2083676,196.72549019607843,-0.03570051,1.1711682844161988,1.1711682844161988,1.0
450000,2.2034903,184.04,-0.009320458,1.013836303949356,1.013836303949356,1.0
460000,2.1811965,197.20754716981133,0.027229449,1.1809814330541863,1.1809814330541863,1.0
470000,2.220487,235.38636363636363,0.09507613,1.6103458407927642,1.6103458407927642,1.0
480000,2.2185695,276.48387096774195,0.15441823,2.126706700772047,2.126706700772047,1.0
490000,2.2101479,316.94117647058823,0.15536876,2.6089417434790554,2.6089417434790554,1.0
500000,2.2267718,236.17857142857142,0.21926616,1.7275717960936683,1.7275717960936683,1.0
510000,2.226286,468.24,0.20159778,4.731216847896576,4.731216847896576,1.0
520000,2.1838493,445.3333333333333,0.27005035,4.653139970872713,4.653139970872713,1.0
530000,2.175651,337.0869565217391,0.31065795,3.198513634826826,3.198513634826826,1.0
540000,2.1285877,473.3636363636364,0.33921215,4.804913836976756,4.804913836976756,1.0
550000,2.088874,445.3,0.39228597,4.779170878231525,4.779170878231525,1.0
560000,2.0854554,535.5294117647059,0.47695318,6.110918742768905,6.110918742768905,1.0
570000,2.066441,609.3157894736842,0.5040924,7.20589585837565,7.20589585837565,1.0
580000,2.027341,694.4545454545455,0.6119297,8.577546867457302,8.577546867457302,1.0
590000,2.009216,639.3684210526316,0.6323519,7.85999070186364,7.85999070186364,1.0
600000,1.9797468,646.6153846153846,0.6572825,8.083570535366352,8.083570535366352,1.0
610000,1.9489229,983.5454545454545,0.7423116,13.37949293309992,13.37949293309992,1.0
620000,1.9206501,658.0769230769231,0.7693424,8.495139798292747,8.495139798292747,1.0
630000,1.8929707,799.1538461538462,0.84575284,10.815632439576662,10.815632439576662,1.0
640000,1.9042737,935.0714285714286,0.9140902,12.8384174819176,12.8384174819176,1.0
650000,1.9293934,826.4285714285714,0.940218,11.776501849293709,11.776501849293709,1.0
660000,1.9044755,777.9333333333333,0.9537693,10.788161571820577,10.788161571820577,1.0
670000,1.8907943,790.5714285714286,1.0191544,11.066058831555504,11.066058831555504,1.0
680000,1.892636,962.5,1.0523306,13.849377039819956,13.849377039819956,1.0
690000,1.8729587,974.5454545454545,1.0877899,14.252147490328008,14.252147490328008,1.0
700000,1.8616666,748.25,1.0624621,10.501218189795813,10.501218189795813,1.0
710000,1.8495922,798.6153846153846,1.0931938,11.316155555156561,11.316155555156561,1.0
720000,1.8406003,678.2,1.0744519,9.521214811007182,9.521214811007182,1.0
730000,1.7923079,794.5,1.080754,11.561958938837051,11.561958938837051,1.0
740000,1.7983456,811.5555555555555,1.0707237,11.632446229457855,11.632446229457855,1.0
750000,1.82767,989.5714285714286,1.1186701,14.75987359881401,14.75987359881401,1.0
760000,1.8256809,909.0,1.1074309,13.156091034412384,13.156091034412384,1.0
770000,1.7868135,811.0,1.1996206,12.125838306817142,12.125838306817142,1.0
780000,1.7756386,988.8461538461538,1.2097371,14.89532517699095,14.89532517699095,1.0
790000,1.7587819,794.2222222222222,1.2747904,11.871935155656603,11.871935155656603,1.0
800000,1.7739,917.7692307692307,1.2805406,13.697140413981218,13.697140413981218,1.0
810000,1.7600467,886.625,1.2681826,13.362851832062006,13.362851832062006,1.0
820000,1.7484707,958.0909090909091,1.2692316,14.541384030472148,14.541384030472148,1.0
830000,1.7436078,999.0,1.3377632,15.542235558231672,15.542235558231672,1.0
840000,1.7402533,999.0,1.3470198,15.312977373600006,15.312977373600006,1.0
850000,1.7297937,999.0,1.3900484,15.500493114644831,15.500493114644831,1.0
860000,1.7125486,955.1666666666666,1.3943982,14.684711250391873,14.684711250391873,1.0
870000,1.6845956,874.3333333333334,1.4400544,13.512702107429504,13.512702107429504,1.0
880000,1.6510637,999.0,1.4632387,15.773274931040676,15.773274931040676,1.0
890000,1.6297497,999.0,1.4968538,15.813002273440361,15.813002273440361,1.0
900000,1.6062489,920.3333333333334,1.5133114,14.496202166263874,14.496202166263874,1.0
910000,1.5944593,999.0,1.5597503,15.850602310895919,15.850602310895919,1.0
920000,1.6095263,911.8,1.5947189,14.337602066993714,14.337602066993714,1.0
930000,1.5934612,893.1818181818181,1.61907,13.83352922851389,13.83352922851389,1.0
940000,1.5808858,963.1666666666666,1.6542699,15.11958552400271,15.11958552400271,1.0
950000,1.557815,999.0,1.68909,15.77809116575453,15.77809116575453,1.0
960000,1.5452619,930.2727272727273,1.7061898,14.569129196080295,14.569129196080295,1.0
970000,1.5215967,893.7,1.710445,14.155741995573043,14.155741995573043,1.0
980000,1.5000532,945.8333333333334,1.7101877,15.011835416158041,15.011835416158041,1.0
990000,1.4935325,999.0,1.7322639,16.0506023645401,16.0506023645401,1.0
1000000,1.4624065,999.0,1.7731507,16.055868837568497,16.055868837568497,1.0
1010000,1.4614365,999.0,1.7906681,16.20044218301773,16.20044218301773,1.0
1020000,1.468384,999.0,1.816789,16.150502359867097,16.150502359867097,1.0
1030000,1.4610133,999.0,1.7934415,16.18216587196697,16.18216587196697,1.0
1040000,1.4824717,999.0,1.7634643,16.25048236846924,16.25048236846924,1.0
1050000,1.4778064,954.5555555555555,1.7506851,15.378135356638166,15.378135356638166,1.0
1060000,1.5117854,999.0,1.7321069,16.227602449330416,16.227602449330416,1.0
1070000,1.5198032,999.0,1.7370472,16.36418395692652,16.36418395692652,1.0
1080000,1.499614,999.0,1.7286009,16.125302493572235,16.125302493572235,1.0
1090000,1.5004641,966.3636363636364,1.7400479,15.578492999076843,15.578492999076843,1.0
1100000,1.4365675,988.9090909090909,1.7016633,16.0559840852564,16.0559840852564,1.0
1110000,1.4316499,929.5454545454545,1.6928493,15.115274916995656,15.115274916995656,1.0
1120000,1.4160882,900.8,1.6344074,14.698621821403503,14.698621821403503,1.0
1130000,1.4091022,999.0,1.6373898,16.38924675517612,16.38924675517612,1.0
1140000,1.4027724,999.0,1.6989853,16.625352253516514,16.625352253516514,1.0
1150000,1.405007,999.0,1.6990103,16.44502462281121,16.44502462281121,1.0
1160000,1.4111367,999.0,1.7382767,16.444779727194046,16.444779727194046,1.0
1170000,1.4104319,999.0,1.7435856,16.636784087527882,16.636784087527882,1.0
1180000,1.4048748,996.6,1.7686352,16.3527822047472,16.3527822047472,1.0
1190000,1.4067839,862.2307692307693,1.7611114,13.944940412273773,13.944940412273773,1.0
1200000,1.4169744,928.1,1.7448905,15.071282118558884,15.071282118558884,1.0
1210000,1.4273108,939.3333333333334,1.7533891,15.393424272537231,15.393424272537231,1.0
1220000,1.4167062,923.0769230769231,1.7207628,15.38409451337961,15.38409451337961,1.0
1230000,1.4095953,840.2727272727273,1.6868384,13.522747280922802,13.522747280922802,1.0
1240000,1.3976923,999.0,1.6880621,16.611602160665726,16.611602160665726,1.0
1250000,1.3895789,999.0,1.684535,16.75038238763809,16.75038238763809,1.0
1260000,1.3872498,931.2142857142857,1.8153327,15.419509798288345,15.419509798288345,1.0
1270000,1.3853837,934.0,1.8578923,15.509002023935318,15.509002023935318,1.0
1280000,1.4136479,999.0,1.854935,16.750322395563124,16.750322395563124,1.0
1290000,1.4384302,999.0,1.8439274,16.889224383566116,16.889224383566116,1.0
1300000,1.4158291,975.1818181818181,1.8208506,16.47658210992813,16.47658210992813,1.0
1310000,1.4048384,926.8181818181819,1.8013664,15.733202109734217,15.733202109734217,1.0
1320000,1.406201,999.0,1.7959831,16.812952309846878,16.812952309846878,1.0
1330000,1.4324656,999.0,1.7848408,16.682202263311908,16.682202263311908,1.0
1340000,1.4281472,944.4166666666666,1.770832,15.888369053602219,15.888369053602219,1.0
1350000,1.4192997,955.9,1.7612896,15.893602067232132,15.893602067232132,1.0
1360000,1.4241151,989.9,1.7483374,16.559582030773164,16.559582030773164,1.0
1370000,1.4072798,999.0,1.7723852,16.950442039966582,16.950442039966582,1.0
1380000,1.4031706,863.75,1.7355028,14.260701974232992,14.260701974232992,1.0
1390000,1.396499,908.0,1.6996408,15.000638279047878,15.000638279047878,1.0
1400000,1.3945231,948.5,1.7212601,16.001001965999603,16.001001965999603,1.0
1410000,1.3786998,823.0,1.6974331,13.476521801948547,13.476521801948547,1.0
1420000,1.3767388,939.2857142857143,1.696692,15.66721616259643,15.66721616259643,1.0
1430000,1.3666296,932.1111111111111,1.7040942,15.734068592389425,15.734068592389425,1.0
1440000,1.3599501,999.0,1.7383778,17.10046226978302,17.10046226978302,1.0
1450000,1.3495044,946.0909090909091,1.755996,15.908582085371018,15.908582085371018,1.0
1460000,1.35099,984.3636363636364,1.7691326,16.763885249694187,16.763885249694187,1.0
1470000,1.3700184,975.2,1.8221428,16.52420219182968,16.52420219182968,1.0
1480000,1.3767743,999.0,1.8239832,17.16716868678729,17.16716868678729,1.0
1490000,1.3523328,974.5714285714286,1.7913824,16.667687824794225,16.667687824794225,1.0
1500000,1.3640356,965.4166666666666,1.7959869,16.491602057760414,16.491602057760414,1.0
1510000,1.3690661,939.8571428571429,1.7417034,16.114626843482256,16.114626843482256,1.0
1520000,1.360708,999.0,1.7418848,17.00041757638638,17.00041757638638,1.0
1530000,1.34782,999.0,1.7855688,17.285916328430176,17.285916328430176,1.0
1540000,1.3559936,999.0,1.7796488,17.292068670193355,17.292068670193355,1.0
1550000,1.3271793,999.0,1.7142308,17.05038194656372,17.05038194656372,1.0
1560000,1.3203255,999.0,1.7051017,17.250335375467937,17.250335375467937,1.0
1570000,1.3008254,999.0,1.809409,17.250387915543147,17.250387915543147,1.0
1580000,1.2917565,999.0,1.8185066,17.300322043895722,17.300322043895722,1.0
1590000,1.2982305,999.0,1.8261498,17.437876671552658,17.437876671552658,1.0
1600000,1.3010175,990.2142857142857,1.825631,16.97351615343775,16.97351615343775,1.0
1610000,1.2854183,999.0,1.8205109,17.33356895049413,17.33356895049413,1.0
1620000,1.2798666,999.0,1.8138263,17.292135457197826,17.292135457197826,1.0
1630000,1.2676804,920.3636363636364,1.7717214,15.942638305100528,15.942638305100528,1.0
1640000,1.2654686,999.0,1.7755501,17.50046843290329,17.50046843290329,1.0
1650000,1.2828524,999.0,1.7885273,17.28615936211177,17.28615936211177,1.0
1660000,1.2868402,940.6,1.7961293,16.20878184437752,16.20878184437752,1.0
1670000,1.2749896,827.6,1.7517779,14.121921902894973,14.121921902894973,1.0
1680000,1.2590383,940.5333333333333,1.7450476,16.125628566741945,16.125628566741945,1.0
1690000,1.2364719,826.7142857142857,1.7527208,14.029944692339216,14.029944692339216,1.0
1700000,1.2221818,999.0,1.7686939,17.591474988243796,17.591474988243796,1.0
1710000,1.2066654,999.0,1.7439665,17.45502028682015,17.45502028682015,1.0
1720000,1.2100989,999.0,1.7389393,17.312977224588394,17.312977224588394,1.0
1730000,1.2068185,968.3571428571429,1.7323215,16.816901683807373,16.816901683807373,1.0
1740000,1.1957653,975.625,1.7191982,16.812944625105178,16.812944625105178,1.0
1750000,1.2085444,999.0,1.7721218,17.40044218301773,17.40044218301773,1.0
1760000,1.2085878,937.1538461538462,1.831853,16.293155839810005,16.293155839810005,1.0
1770000,1.2228895,999.0,1.8447386,17.562927037477493,17.562927037477493,1.0
1780000,1.2272873,819.0769230769231,1.838315,14.065078584047464,14.065078584047464,1.0
1790000,1.2376118,995.4545454545455,1.8161615,17.094856481660496,17.094856481660496,1.0
1800000,1.2681799,945.0,1.7504432,16.443401681052315,16.443401681052315,1.0
1810000,1.2480769,892.9285714285714,1.7619771,15.535116004092353,15.535116004092353,1.0
1820000,1.2270958,999.0,1.7709204,17.750401834646862,17.750401834646862,1.0
1830000,1.2163962,932.4615384615385,1.7747393,16.067001970914696,16.067001970914696,1.0
1840000,1.1818022,917.0,1.7768623,16.082435210545857,16.082435210545857,1.0
1850000,1.1744883,978.7142857142857,1.7967985,17.092201777866908,17.092201777866908,1.0
1860000,1.1756343,937.9333333333333,1.8199329,16.328241962194443,16.328241962194443,1.0
1870000,1.1790912,999.0,1.8220241,17.389246556493973,17.389246556493973,1.0
1880000,1.1825699,999.0,1.8585784,17.68812684714794,17.68812684714794,1.0
1890000,1.1685146,991.7857142857143,1.867186,17.40050195796149,17.40050195796149,1.0
1900000,1.1629777,999.0,1.9158518,17.60040156841278,17.60040156841278,1.0
1910000,1.1638668,999.0,1.9274178,17.708852112293243,17.708852112293243,1.0
1920000,1.1275004,987.6,1.9181637,17.311782032251358,17.311782032251358,1.0
1930000,1.134336,999.0,1.9297069,17.563026756048203,17.563026756048203,1.0
1940000,1.1104604,967.1333333333333,1.9663073,17.132361872990927,17.132361872990927,1.0
1950000,1.1079693,999.0,1.9698688,17.833757095866734,17.833757095866734,1.0
1960000,1.1068838,911.0,1.9936396,16.033046391275192,16.033046391275192,1.0
1970000,1.1184136,982.5714285714286,1.9818026,17.24897126051096,17.24897126051096,1.0
1980000,1.1180134,999.0,1.9846377,17.40048167705536,17.40048167705536,1.0
1990000,1.1220307,999.0,1.9833384,17.84670988413004,17.84670988413004,1.0
2000000,1.1237227,999.0,1.944299,17.60048167705536,17.60048167705536,1.0
2010000,1.1165254,999.0,1.9373171,17.714887380599976,17.714887380599976,1.0
2020000,1.1086351,999.0,1.881409,17.86718866825104,17.86718866825104,1.0
2030000,1.1093874,999.0,1.8721809,17.875451758503914,17.875451758503914,1.0
2040000,1.1185104,999.0,1.9331663,17.778379983372158,17.778379983372158,1.0
2050000,1.1292907,999.0,1.974373,18.038971405762894,18.038971405762894,1.0
2060000,1.1452409,786.8333333333334,1.9057984,16.645968705415726,16.645968705415726,1.0
2070000,1.1639814,999.0,1.8736926,16.64666351905236,16.64666351905236,1.0
2080000,1.1666416,999.0,1.8178085,18.091383944858205,18.091383944858205,1.0
2090000,1.1727072,999.0,1.7685379,17.917235275109608,17.917235275109608,1.0
2100000,1.1674696,999.0,1.7950124,18.200495624542235,18.200495624542235,1.0
2110000,1.1567165,999.0,1.8114504,17.944890830251907,17.944890830251907,1.0
2120000,1.159883,999.0,1.8130597,18.063077360391617,18.063077360391617,1.0
2130000,1.1494732,999.0,1.8233213,17.92355599770179,17.92355599770179,1.0
2140000,1.1516236,999.0,1.832349,17.600522089004517,17.600522089004517,1.0
2150000,1.1590735,999.0,1.8376597,18.115894574385422,18.115894574385422,1.0
2160000,1.1575228,999.0,1.8578465,18.227747570384633,18.227747570384633,1.0
2170000,1.170939,999.0,1.8843483,17.833902060985565,17.833902060985565,1.0
2180000,1.1527705,999.0,1.8823922,18.133828783035277,18.133828783035277,1.0
2190000,1.1554222,999.0,1.882439,18.000446491771275,18.000446491771275,1.0
2200000,1.1553408,900.6666666666666,1.8734415,16.210024144914414,16.210024144914414,1.0
2210000,1.170563,902.2142857142857,1.8575065,16.13295932539872,16.13295932539872,1.0
2220000,1.1619563,910.2222222222222,1.8803581,16.28780248761177,16.28780248761177,1.0
2230000,1.157161,943.0,1.839454,16.869656546549365,16.869656546549365,1.0
2240000,1.1692221,999.0,1.8589414,18.0913659659299,18.0913659659299,1.0
2250000,1.1455199,997.0,1.8986418,18.064977180212736,18.064977180212736,1.0
2260000,1.1426743,999.0,1.9056146,18.269756014530476,18.269756014530476,1.0
2270000,1.1443388,973.0,1.9221519,17.72648193836212,17.72648193836212,1.0
2280000,1.1372023,999.0,1.9215188,18.250502109527588,18.250502109527588,1.0
2290000,1.1321518,999.0,1.9050308,18.250518689552944,18.250518689552944,1.0
2300000,1.1215751,999.0,1.9077365,18.500513248973423,18.500513248973423,1.0
2310000,1.1106294,999.0,1.8577085,18.389446987046135,18.389446987046135,1.0
2320000,1.1066071,999.0,1.8658513,18.22776622121984,18.22776622121984,1.0
2330000,1.1067384,999.0,1.7953416,18.43797728419304,18.43797728419304,1.0
2340000,1.1067274,998.6153846153846,1.7860509,18.154786779330326,18.154786779330326,1.0
2350000,1.1047263,999.0,1.8424381,18.200482177734376,18.200482177734376,1.0
2360000,1.0953757,907.4444444444445,1.851052,16.536535527971054,16.536535527971054,1.0
2370000,1.1254666,953.8181818181819,1.8223635,17.227456520904195,17.227456520904195,1.0
2380000,1.144723,999.0,1.808601,18.200462102890015,18.200462102890015,1.0
2390000,1.1514486,976.125,1.8132108,17.79871389600966,17.79871389600966,1.0
2400000,1.160121,999.0,1.8232949,18.385079209621136,18.385079209621136,1.0
2410000,1.1590465,964.5,1.8286054,17.46848796095167,17.46848796095167,1.0
2420000,1.1762613,899.6153846153846,1.8201176,16.44994509645871,16.44994509645871,1.0
2430000,1.1685696,953.7272727272727,1.7441585,17.273038669065997,17.273038669065997,1.0
2440000,1.1613709,939.0,1.6971127,17.116046557823818,17.116046557823818,1.0
2450000,1.1552817,983.7272727272727,1.7037563,18.10669330033389,18.10669330033389,1.0
2460000,1.1616585,877.6666666666666,1.6805352,15.621802270412445,15.621802270412445,1.0
2470000,1.1692517,870.6666666666666,1.7228131,15.5871520464619,15.5871520464619,1.0
2480000,1.1817368,999.0,1.7906389,18.542118936777115,18.542118936777115,1.0
2490000,1.1769657,879.1111111111111,1.7752788,15.842491335339016,15.842491335339016,1.0
2500000,1.1732495,999.0,1.8083526,18.273238583044574,18.273238583044574,1.0
2510000,1.1624962,907.9090909090909,1.801329,16.682438639077272,16.682438639077272,1.0
2520000,1.1475775,999.0,1.798406,18.45500257882205,18.45500257882205,1.0
2530000,1.157666,999.0,1.7851341,18.389446801609463,18.389446801609463,1.0
2540000,1.1483897,999.0,1.723677,18.333758076032,18.333758076032,1.0
2550000,1.1499476,940.9090909090909,1.7399559,17.28591135415164,17.28591135415164,1.0
2560000,1.16145,999.0,1.760603,18.500420808792114,18.500420808792114,1.0
2570000,1.149847,999.0,1.7771266,18.389335963461136,18.389335963461136,1.0
2580000,1.1531812,999.0,1.8206806,18.500522315502167,18.500522315502167,1.0
2590000,1.1555156,937.6666666666666,1.7995595,17.145152151584625,17.145152151584625,1.0
2600000,1.145266,936.9090909090909,1.8187351,17.218762391805647,17.218762391805647,1.0
2610000,1.1587276,999.0,1.8240112,18.59142046624964,18.59142046624964,1.0
2620000,1.1452818,858.8333333333334,1.817816,15.65347465059974,15.65347465059974,1.0
2630000,1.1548605,999.0,1.8112751,18.350402331352235,18.350402331352235,1.0
2640000,1.1610621,999.0,1.8415865,18.650502383708954,18.650502383708954,1.0
2650000,1.1591587,904.0,1.8284031,16.25478191971779,16.25478191971779,1.0
2660000,1.162088,999.0,1.8824133,18.364093466238543,18.364093466238543,1.0
2670000,1.1513681,999.0,1.8925114,18.80040273666382,18.80040273666382,1.0
2680000,1.1563298,999.0,1.8808457,18.600242495536804,18.600242495536804,1.0
2690000,1.1515481,966.3636363636364,1.8505106,17.987638852813028,17.987638852813028,1.0
2700000,1.1499648,994.5,1.8478191,18.394291347927517,18.394291347927517,1.0
2710000,1.1526878,898.4545454545455,1.8476013,16.592452198266983,16.592452198266983,1.0
2720000,1.1585559,999.0,1.9197567,18.8754024207592,18.8754024207592,1.0
2730000,1.155377,999.0,1.9322487,18.650182497501373,18.650182497501373,1.0
2740000,1.1542761,999.0,1.8688816,18.500385582447052,18.500385582447052,1.0
2750000,1.1488216,911.5,1.8550669,16.68780214488506,16.68780214488506,1.0
2760000,1.1671627,999.0,1.9198307,18.450222623348235,18.450222623348235,1.0
2770000,1.1834315,999.0,1.9377575,18.545784213326193,18.545784213326193,1.0
2780000,1.1892356,895.75,1.9356287,16.203910984776236,16.203910984776236,1.0
2790000,1.1882097,999.0,1.9590518,18.40024229288101,18.40024229288101,1.0
2800000,1.184759,999.0,1.9268405,18.437902584671974,18.437902584671974,1.0
2810000,1.1902137,989.6363636363636,1.8987538,18.191347739913247,18.191347739913247,1.0
2820000,1.180101,999.0,1.8981575,18.682093479416586,18.682093479416586,1.0
2830000,1.172127,999.0,1.8965347,18.55591340859731,18.55591340859731,1.0
2840000,1.1939437,934.5454545454545,1.9054838,17.155547629703175,17.155547629703175,1.0
2850000,1.1961143,999.0,1.9458859,18.5457843542099,18.5457843542099,1.0
2860000,1.1898925,999.0,1.9694256,18.591256965290416,18.591256965290416,1.0
2870000,1.1618383,999.0,1.9847488,18.50020272201962,18.50020272201962,1.0
2880000,1.1724622,978.625,1.9953336,18.270827174186707,18.270827174186707,1.0
2890000,1.1819375,982.5454545454545,1.9791887,18.198475247079674,18.198475247079674,1.0
2900000,1.1595854,999.0,1.9805267,18.600322580337526,18.600322580337526,1.0
2910000,1.154388,863.3846153846154,1.9106326,15.712971288424272,15.712971288424272,1.0
2920000,1.1434013,974.5,1.9258808,18.024662429094313,18.024662429094313,1.0
2930000,1.1330425,999.0,1.8913233,18.55595787366231,18.55595787366231,1.0
2940000,1.1450032,961.9090909090909,1.9131175,17.909285572667915,17.909285572667915,1.0
2950000,1.1528931,999.0,1.9779762,18.45026252269745,18.45026252269745,1.0
2960000,1.1510822,999.0,1.9838583,18.71468828405653,18.71468828405653,1.0
2970000,1.1539835,941.4166666666666,1.9530118,17.391152143478394,17.391152143478394,1.0
2980000,1.1386006,999.0,1.9746177,18.83364685376485,18.83364685376485,1.0
2990000,1.1605996,999.0,2.0146613,18.29208583633105,18.29208583633105,1.0
3000000,1.1571589,999.0,2.0165286,18.591147910464894,18.591147910464894,1.0
